iter	Passed	Remaining
0	3	334
1	6	329
2	9	316
3	12	291
4	14	281
5	17	271
6	19	260
7	21	251
8	24	245
9	25	231
10	27	219
11	28	209
12	29	200
13	31	193
14	33	188
15	34	182
16	36	176
17	37	171
18	39	166
19	40	162
20	42	158
21	43	154
22	45	150
23	46	147
24	47	143
25	49	139
26	50	135
27	51	132
28	52	128
29	53	125
30	55	122
31	56	119
32	57	116
33	58	113
34	59	110
35	60	108
36	62	105
37	63	103
38	64	100
39	65	98
40	66	96
41	67	93
42	69	91
43	70	89
44	71	87
45	72	85
46	73	83
47	75	81
48	76	79
49	77	77
50	78	75
51	79	73
52	80	71
53	81	69
54	83	68
55	84	66
56	85	64
57	86	62
58	87	60
59	88	59
60	89	57
61	91	55
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	99	46
68	100	45
69	102	43
70	103	42
71	104	40
72	106	39
73	107	37
74	108	36
75	109	34
76	111	33
77	112	31
78	113	30
79	114	28
80	115	27
81	116	25
82	117	24
83	119	22
84	120	21
85	121	19
86	122	18
87	123	16
88	125	15
89	126	14
90	127	12
91	128	11
92	130	9
93	131	8
94	132	6
95	134	5
96	135	4
97	137	2
98	138	1
99	139	0
