iter	Passed	Remaining
0	288	288684
1	292	145871
2	294	97951
3	296	73879
4	299	59582
5	301	49888
6	303	43019
7	305	37852
8	306	33777
9	310	30725
10	312	28125
11	314	25879
12	316	23996
13	317	22393
14	319	20982
15	321	19746
16	325	18804
17	327	17862
18	329	16994
19	331	16227
20	332	15516
21	334	14861
22	335	14265
23	339	13826
24	342	13340
25	343	12871
26	345	12454
27	347	12049
28	348	11670
29	350	11324
30	353	11039
31	355	10758
32	358	10498
33	360	10239
34	362	9988
35	363	9745
36	365	9524
37	368	9339
38	371	9150
39	373	8954
40	374	8765
41	376	8582
42	378	8415
43	380	8258
44	383	8138
45	386	8019
46	388	7871
47	389	7729
48	391	7596
49	393	7469
50	394	7345
51	398	7271
52	400	7160
53	402	7046
54	403	6936
55	405	6839
56	407	6737
57	408	6638
58	412	6576
59	414	6494
60	416	6414
61	418	6331
62	420	6250
63	421	6167
64	423	6087
65	427	6047
66	429	5982
67	431	5909
68	433	5845
69	434	5775
70	436	5706
71	437	5640
72	439	5584
73	441	5529
74	443	5475
75	446	5427
76	447	5369
77	449	5311
78	450	5256
79	452	5203
80	455	5166
81	457	5116
82	458	5064
83	459	5015
84	461	4967
85	462	4919
86	464	4872
87	465	4828
88	467	4784
89	470	4758
90	472	4717
91	473	4675
92	475	4635
93	476	4595
94	478	4555
95	479	4518
96	481	4481
97	482	4444
98	486	4425
99	487	4389
100	489	4353
101	490	4318
102	492	4284
103	493	4251
104	494	4219
105	496	4186
106	498	4156
107	501	4143
108	503	4119
109	505	4092
110	507	4066
111	509	4037
112	510	4009
113	512	3983
114	515	3965
115	516	3937
116	517	3908
117	519	3882
118	521	3859
119	522	3833
120	524	3808
121	525	3781
122	527	3760
123	530	3744
124	531	3722
125	533	3699
126	535	3678
127	536	3655
128	538	3633
129	539	3610
130	541	3591
131	542	3569
132	545	3558
133	547	3537
134	549	3519
135	550	3498
136	552	3477
137	553	3457
138	555	3439
139	556	3420
140	558	3402
141	560	3385
142	561	3367
143	563	3348
144	564	3330
145	566	3312
146	567	3293
147	569	3275
148	570	3259
149	572	3243
150	575	3233
151	576	3216
152	578	3199
153	579	3182
154	580	3166
155	582	3150
156	584	3136
157	585	3120
158	587	3106
159	590	3097
160	591	3080
161	592	3065
162	594	3051
163	595	3036
164	596	3021
165	598	3007
166	600	2993
167	601	2980
168	603	2969
169	605	2957
170	607	2943
171	608	2930
172	610	2916
173	611	2904
174	613	2891
175	614	2878
176	616	2866
177	619	2860
178	621	2848
179	622	2835
180	623	2823
181	625	2811
182	626	2798
183	629	2789
184	630	2778
185	634	2775
186	636	2766
187	638	2758
188	640	2749
189	642	2737
190	643	2726
191	645	2715
192	647	2705
193	650	2701
194	652	2692
195	654	2683
196	655	2672
197	657	2661
198	658	2651
199	660	2642
200	662	2632
201	665	2627
202	668	2622
203	669	2614
204	671	2603
205	672	2593
206	674	2585
207	676	2575
208	679	2571
209	682	2568
210	684	2558
211	685	2549
212	688	2542
213	690	2534
214	691	2525
215	696	2528
216	698	2521
217	700	2512
218	702	2504
219	704	2497
220	705	2488
221	707	2480
222	712	2482
223	714	2475
224	716	2468
225	718	2460
226	719	2451
227	721	2442
228	722	2433
229	727	2435
230	729	2427
231	731	2421
232	733	2413
233	734	2404
234	736	2396
235	737	2389
236	743	2393
237	746	2388
238	747	2381
239	749	2373
240	751	2365
241	753	2359
242	756	2357
243	759	2354
244	761	2347
245	763	2339
246	764	2331
247	767	2326
248	768	2318
249	771	2314
250	773	2308
251	775	2301
252	776	2293
253	778	2286
254	780	2279
255	781	2271
